       96000  -0.116713   0.176  0.602  0.000   0 8.000000
       97000  -0.081133   0.176  0.603  0.000   0 8.000000
       98000  -0.172917   0.176  0.604  0.000   0 8.000000
       99000  -0.392460   0.176  0.604  0.000   0 8.000000
      100000  -0.428848   0.177  0.604  0.000   0 8.000000
      101000  -0.530082   0.177  0.604  0.000   0 8.000000
      102000  -0.507136   0.177  0.604  0.000   0 8.000000
      103000  -0.374284   0.177  0.604  0.000   0 8.000000
      104000  -0.221799   0.177  0.605  0.000   0 8.000000
      105000  -0.448218   0.177  0.605  0.000   0 8.000000
      106000  -0.335078   0.177  0.605  0.000   0 8.000000
      107000  -0.335701   0.177  0.605  0.000   0 8.000000
      108000  -0.407812   0.177  0.605  0.000   0 8.000000
      109000  -0.281687   0.177  0.606  0.000   0 8.000000
      110000  -0.431945   0.177  0.606  0.000   0 8.000000
      111000  -0.557635   0.177  0.606  0.000   0 8.000000
      112000  -0.469759   0.177  0.606  0.000   0 8.000000
      113000  -0.682951   0.177  0.606  0.000   0 8.000000
      114000  -0.707199   0.177  0.605  0.000   0 8.000000
      115000  -0.788184   0.177  0.604  0.000   0 8.000000
      116000  -0.720483   0.176  0.604  0.000   0 8.000000
      117000  -0.516110   0.176  0.603  0.000   0 8.000000
      118000  -0.514554   0.176  0.604  0.000   0 8.000000
      119000  -0.553500   0.176  0.604  0.000   0 8.000000
      120000  -0.592659   0.176  0.603  0.000   0 8.000000
      121000  -0.465660   0.176  0.603  0.000   0 8.000000
      122000  -0.321533   0.176  0.603  0.000   0 8.000000
      123000  -0.353300   0.176  0.604  0.000   0 8.000000
      124000  -0.264543   0.176  0.604  0.000   0 8.000000
      125000  -0.341936   0.177  0.604  0.000   0 8.000000
      126000  -0.338342   0.177  0.605  0.000   0 8.000000
      127000  -0.273191   0.177  0.605  0.000   0 8.000000
      128000  -0.346531   0.177  0.605  0.000   0 8.000000
      129000  -0.500332   0.177  0.605  0.000   0 8.000000
      130000  -0.430140   0.177  0.605  0.000   0 8.000000
      131000  -0.509296   0.177  0.605  0.000   0 8.000000
      132000  -0.571014   0.177  0.605  0.000   0 8.000000
      133000  -0.435035   0.177  0.605  0.000   0 8.000000
      134000  -0.394464   0.177  0.605  0.000   0 8.000000
      135000  -0.412935   0.177  0.605  0.000   0 8.000000
      136000  -0.452739   0.177  0.605  0.000   0 8.000000
      137000  -0.371171   0.177  0.605  0.000   0 8.000000
      138000  -0.366510   0.177  0.606  0.000   0 8.000000
      139000  -0.362157   0.177  0.606  0.000   0 8.000000
      140000  -0.421569   0.177  0.606  0.000   0 8.000000
      141000  -0.363710   0.177  0.606  0.000   0 8.000000
      142000  -0.462540   0.177  0.606  0.000   0 8.000000
      143000  -0.380745   0.177  0.606  0.000   0 8.000000
      144000  -0.347927   0.177  0.607  0.000   0 8.000000
      145000  -0.425613   0.177  0.607  0.000   0 8.000000
