0 -0.959908 0.000000 0.400000 0.454545  0 1.000000
100000 -0.573163 -0.661919 0.402193 0.570389  0 1.000000
200000 -0.593607 0.000000 0.408583 0.614268  0 1.000000
300000 -0.435744 0.000000 0.411101 0.621958  0 1.000000
400000 -0.438600 0.000000 0.411909 0.625625  0 1.000000
500000 -0.662270 0.000000 0.411741 0.629200  0 1.000000
600000 -0.872824 0.000000 0.411526 0.625575  0 1.000000
700000 -0.501805 0.000000 0.411028 0.621549  0 1.000000
800000 -0.428684 0.000000 0.411115 0.623493  0 1.000000
900000 -0.680716 -0.000000 0.410624 0.623345  0 1.000000
1000000 -0.623866 0.000000 0.410335 0.621076  0 1.000000
1100000 -0.837977 -0.813754 0.408466 0.619443  1 6000.000000
1200000 -0.594196 0.000000 0.403744 0.610916  0 1.000000
1300000 -0.704046 0.000000 0.404662 0.613419  0 1.000000
1400000 -0.505899 0.000000 0.404959 0.613133  0 1.000000
1500000 -0.767793 0.000000 0.405511 0.613892  0 1.000000
1600000 -0.642930 0.000000 0.405706 0.614624  0 1.000000
1700000 -0.479916 0.000000 0.405932 0.615120  0 1.000000
1800000 -0.581101 0.000000 0.406226 0.616042  0 1.000000
1900000 -0.470729 0.000000 0.406341 0.615304  0 1.000000
2000000 -0.649106 0.000000 0.406404 0.614313  0 1.000000
2100000 -0.666861 0.000000 0.406523 0.614416  0 1.000000
2200000 -0.370012 0.000000 0.406796 0.614030  0 1.000000
2300000 -0.646812 0.000000 0.406874 0.613250  0 1.000000
2400000 -0.499112 0.000000 0.407065 0.613141  0 1.000000
2500000 -0.575383 0.000000 0.407426 0.614651  0 1.000000
2600000 -0.641245 0.000000 0.407583 0.615119  0 1.000000
2700000 -0.825173 0.000000 0.407639 0.614552  0 1.000000
2800000 -0.382488 0.000000 0.407687 0.615005  0 1.000000
2900000 -0.481995 0.000000 0.407861 0.615793  0 1.000000
3000000 -0.824070 0.000000 0.407848 0.615775  0 1.000000
3100000 -0.506885 0.000000 0.407996 0.616332  0 1.000000
3200000 -0.639981 0.000000 0.408208 0.616962  0 1.000000
3300000 -0.524117 0.000000 0.408311 0.617762  0 1.000000
3400000 -0.753018 -1.503384 0.408118 0.617253  2 1500.000000
3500000 -0.745657 -2.326937 0.404906 0.612758  4 125.000000
3600000 -0.829979 -2.229534 0.401854 0.608451  3 500.000000
3700000 -0.863176 -2.655933 0.398553 0.603780  4 125.000000
3800000 -0.527917 0.000000 0.396508 0.600718  0 1.000000
3900000 -0.536109 0.000000 0.396881 0.601582  0 1.000000
4000000 -0.558499 0.000000 0.397277 0.602396  0 1.000000
4100000 -0.792199 -1.541624 0.394706 0.599352  2 1500.000000
