           0    0.011311   0.000000  -1.013970   0.000000  -0.467005  -0.170617   0.000000   0.026498  -1.613782   0.306685  -1.307097
       10000    0.040375   0.000000  -1.115170   0.000000  -0.370938  -0.118351   0.000000   0.026012  -1.538072   0.299078  -1.238994
       20000    0.054494   0.000000  -1.068702   0.000000  -0.333550  -0.113385   0.000000   0.025794  -1.435348   0.272993  -1.162355
       30000    0.050777   0.000000  -1.085495   0.000000  -0.340658  -0.111481   0.000000   0.025133  -1.461723   0.239529  -1.222194
       40000    0.047884   0.000000  -1.034169   0.000000  -0.343152  -0.116536   0.000000   0.026298  -1.419676   0.261762  -1.157914
       50000    0.040878   0.000000  -1.057790   0.000000  -0.328401  -0.113926   0.000000   0.026199  -1.433039   0.255199  -1.177840
       60000    0.068574   0.000000  -1.101152   0.000000  -0.332323  -0.114804   0.000000   0.024090  -1.455615   0.225799  -1.229815
       70000    0.035946   0.000000  -1.085191   0.000000  -0.341962  -0.121977   0.000000   0.025944  -1.487240   0.286259  -1.200980
       80000    0.037170   0.000000  -1.065960   0.000000  -0.326321  -0.118333   0.000000   0.025753  -1.447690   0.268806  -1.178885
       90000    0.055512   0.000000  -1.071193   0.000000  -0.313955  -0.117048   0.000000   0.026343  -1.420340   0.261617  -1.158723
      100000    0.045039   0.000000  -1.075121   0.007792  -0.304338  -0.105009   0.000000   0.026011  -1.405626   0.294271  -1.111355
      110000    0.045261   0.000000  -1.067973   0.000000  -0.320398  -0.103915   0.000000   0.025382  -1.421642   0.283718  -1.137924
      120000    0.039497   0.000000  -1.070408   0.000000  -0.315872  -0.114140   0.000000   0.026208  -1.434714   0.285484  -1.149230
      130000    0.047223   0.000000  -1.109983   0.000000  -0.323691  -0.117629   0.000000   0.025687  -1.478394   0.322389  -1.156005
      140000    0.057614   0.000000  -1.071865   0.000000  -0.329373  -0.114071   0.000000   0.024326  -1.433369   0.299214  -1.134156
      150000    0.073745   0.000000  -1.091389   0.000000  -0.332488  -0.119248   0.000000   0.025668  -1.443713   0.338710  -1.105003
      160000    0.037354   0.000000  -1.071046   0.000000  -0.330565  -0.110231   0.000000   0.025703  -1.448786   0.288460  -1.160326
      170000    0.053841   0.000000  -1.106237   0.000000  -0.299784  -0.112878   0.000000   0.024674  -1.440384   0.329328  -1.111056
      180000    0.027756   0.000000  -1.051714   0.000000  -0.331148  -0.109099   0.000000   0.027321  -1.436885   0.312223  -1.124662
      190000    0.040287   0.000000  -1.088469   0.000000  -0.319117  -0.100805   0.000000   0.024881  -1.443223   0.349928  -1.093294
      200000    0.052289   0.000000  -1.081397   0.000000  -0.307188  -0.098255   0.000000   0.027288  -1.407264   0.307938  -1.099325
      210000    0.025243   0.000000  -1.050508   0.000000  -0.347649  -0.132323   0.000000   0.026275  -1.478962   0.311632  -1.167330
      220000    0.033244   0.000000  -1.073341   0.000000  -0.335120  -0.123149   0.000000   0.028028  -1.470339   0.293459  -1.176879
      230000    0.048793   0.000000  -1.093057   0.000000  -0.327709  -0.107308   0.000000   0.024749  -1.454532   0.298811  -1.155721
      240000    0.063701   0.000000  -1.073818   0.000000  -0.342428  -0.117270   0.000000   0.025003  -1.444813   0.289004  -1.155810
      250000    0.042713   0.000000  -1.099459   0.000000  -0.316470  -0.107575   0.000000   0.026971  -1.453820   0.274048  -1.179772
      260000    0.037738   0.000000  -1.071347   0.000000  -0.316102  -0.103501   0.000000   0.023736  -1.429477   0.258858  -1.170618
      270000    0.055873   0.000000  -1.122432   0.000000  -0.323528  -0.094300   0.000000   0.026996  -1.457391   0.305699  -1.151692
      280000    0.047322   0.000000  -1.100051   0.000000  -0.320610  -0.130586   0.000000   0.026438  -1.477486   0.267155  -1.210331
      290000    0.036056   0.000000  -1.061739   0.000000  -0.344630  -0.121204   0.000000   0.024080  -1.467437   0.305409  -1.162028
      300000    0.032215   0.000000  -1.074742   0.000000  -0.334505  -0.119987   0.000000   0.025219  -1.471800   0.304625  -1.167175
      310000    0.045782   0.000000  -1.066037   0.000000  -0.350530  -0.122592   0.000000   0.025413  -1.467963   0.316964  -1.150999
      320000    0.041225   0.000000  -1.072964   0.000000  -0.319850  -0.111512   0.000000   0.026832  -1.436268   0.275313  -1.160955
      330000    0.037364   0.000000  -1.061620   0.000000  -0.329659  -0.124214   0.000000   0.026064  -1.452065   0.323950  -1.128115
      340000    0.046116   0.000000  -1.076976   0.000000  -0.305164  -0.104890   0.000000   0.024454  -1.416460   0.293486  -1.122974
      350000    0.056472   0.000000  -1.076741   0.000000  -0.340457  -0.117943   0.000000   0.025632  -1.453038   0.305624  -1.147414
      360000    0.053873   0.000000  -1.074113   0.000000  -0.327107  -0.112443   0.000000   0.026336  -1.433454   0.285883  -1.147571
      370000    0.055708   0.000000  -1.110274   0.000000  -0.356112  -0.109670   0.000000   0.026051  -1.494298   0.306230  -1.188068
      380000    0.038070   0.000000  -1.032561   0.000000  -0.349799  -0.112848   0.000000   0.024270  -1.432868   0.346905  -1.085963
      390000    0.058161   0.000000  -1.099473   0.000000  -0.332755  -0.114859   0.000000   0.024175  -1.464751   0.315061  -1.149689
      400000    0.053939   0.000000  -1.057536   0.000000  -0.342837  -0.106986   0.000000   0.026062  -1.427358   0.290724  -1.136634
      410000    0.047761   0.000000  -1.037012   0.000000  -0.337992  -0.121497   0.000000   0.025115  -1.423625   0.283025  -1.140599
      420000    0.042803   0.000000  -1.106411   0.000000  -0.340695  -0.119742   0.000000   0.024889  -1.499155   0.328298  -1.170857
